972: 831,844,773
973: 746,522
974: 835
975: 
976: 899,956,695
977: 789,800,888
978: 1021,1011
979: 147,601,728,154,855,1036,152,884,192,265
980: 623
981: 
982: 762,580,784
983: 922,882
984: 600,865
985: 
986: 817,877,745
987: 
988: 199,275,400,850,405
989: 318,929,306,29,809,240,649
990: 818,509
