904: 994,917,976
905: 990,865
906: 755,1054
907: 740,792
908: 293,856
986: 
910: 760,879,920
911: 405,635,549,137,381,519,656
998: 758,763
913: 1044,591,941
914: 841,587,878,567,194,916
915: 525,512,119
916: 4,194,245,834,517,833,914,587
917: 956,904,976
918: 552,448,106,770,1021,324,122,423
919: 958,581,921
920: 879,910
921: 958,581,919,335
922: 882,870
923: 
924: 747,954,393,116,355,186,395
925: 536
926: 658,541
927: 
928: 887,647,454,555,662,963
929: 861,649,804,458,306,318
930: 692,799
931: 573
932: 867
933: 1027,615,727
934: 903,329,208,812,129,368,367,769
1054: 906
936: 837,23,686,51,861,649
937: 
938: 442,302,113,62,104,557
939: 971
940: 579
941: 962,877,591,913
1027: 615,933
1007: 78,487,243,238,495,315,389
944: 1037,130,625,1045,154
945: 1051
946: 678,763,795
947: 710,814
948: 264,1023,67,267,226,370,43
949: 400,980
950: 249,997,291,222,56
951: 585
952: 594
953: 361,347,628,891,647,555,6,496,180,839,595
954: 924,747,393,395,869,416
955: 681,830
956: 917,760
957: 1032,999,381,605,1053,735
958: 581,921,919,335,197,744
959: 234,617,768,274,767,488,112
960: 1009,559
961: 
962: 941,877
963: 6,606,708,454,928,647,555
964: 
965: 
966: 744,581,425,753,302
967: 578
968: 612,901,463,629
1018: 546,532,816
970: 
971: 939
972: 538
973: 
974: 668
975: 631,674
976: 917,904,480
977: 
978: 801
979: 1045,154,147,884,152,855,192,1036,265
980: 614,949,850
981: 539
